WARNING 2019-05-26 21:02:46,399 basehttp 154 "GET /images/linux.jpg HTTP/1.1" 404 2042
WARNING 2019-05-26 21:02:46,400 log 228 Not Found: /images/english.jpg
WARNING 2019-05-26 21:02:46,403 basehttp 154 "GET /images/jichujiaochen.jpeg HTTP/1.1" 404 2069
WARNING 2019-05-26 21:02:46,404 basehttp 154 "GET /images/python_web.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 21:02:46,406 basehttp 154 "GET /images/english.jpg HTTP/1.1" 404 2048
WARNING 2019-05-26 21:02:46,492 log 228 Not Found: /js/commons.js
WARNING 2019-05-26 21:02:46,495 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2033
WARNING 2019-05-26 21:02:46,512 log 228 Not Found: /js/index.js
WARNING 2019-05-26 21:02:46,514 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2027
INFO 2019-05-26 21:03:52,772 basehttp 154 "GET / HTTP/1.1" 200 16876
WARNING 2019-05-26 21:03:52,802 log 228 Not Found: /images/ui.png
WARNING 2019-05-26 21:03:52,808 log 228 Not Found: /images/youxi.png
WARNING 2019-05-26 21:03:52,810 log 228 Not Found: /css/base/common.css
WARNING 2019-05-26 21:03:52,835 basehttp 154 "GET /images/ui.png HTTP/1.1" 404 2033
WARNING 2019-05-26 21:03:52,821 log 228 Not Found: /css/news/index.css
WARNING 2019-05-26 21:03:52,835 log 228 Not Found: /css/base/reset.css
WARNING 2019-05-26 21:03:52,836 basehttp 154 "GET /images/youxi.png HTTP/1.1" 404 2042
WARNING 2019-05-26 21:03:52,837 log 228 Not Found: /css/base/side.css
WARNING 2019-05-26 21:03:52,838 basehttp 154 "GET /css/base/common.css HTTP/1.1" 404 2051
WARNING 2019-05-26 21:03:52,849 basehttp 154 "GET /css/news/index.css HTTP/1.1" 404 2048
WARNING 2019-05-26 21:03:52,850 log 228 Not Found: /js/commons.js
WARNING 2019-05-26 21:03:52,856 log 228 Not Found: /js/index.js
WARNING 2019-05-26 21:03:52,857 basehttp 154 "GET /css/base/reset.css HTTP/1.1" 404 2048
WARNING 2019-05-26 21:03:52,861 basehttp 154 "GET /css/base/side.css HTTP/1.1" 404 2045
WARNING 2019-05-26 21:03:52,884 log 228 Not Found: /images/dianshang.png
